Unnamed: 0,Name of the hotel,Weighted value,Latitude,Longitude,Type,City,Cost,Link,Reviews,sentiment_score,Cluster
33,The Kay Hotel,404.0,16.51308305,80.62835552,Hotel,Vijayawada,5040,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiit9Ls2vP8AhXTRmwGHa_CDSIQFnoECA0QAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d2689806-Reviews-The_Kay_Hotel-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw0_H2DwrHEJHWbkXpginPJ_,"One of the worst experiences of staying anywhere. They are a self-certified 4 star hotel, which technically may be true but they do not deserve even one. The staff are the worst experience after the room and sanitation failures. We called multiple times before we booked and everything they said turned out to be lies when we reached there and their excuse - they do not even know who answered the phone and gave the information. The front office was on his own ego trip and the only language that they understand is if you shout at them. The rooms are not tidy and honestly claustrophobic. The corridors were not lit to save on electricity 😡🤬 The restaurant has no social distancing.. there was a group of 100 guests arriving for a function and were roaming around with the guests.. we…I stayed there multiple times, this time Enroute to Kakinada, we stopped there for food, Located at the beginning of IRR, near to nidamanru village and airport, Wash room are clean, service is prompt and food is good, overall it was a worth stop and good food at reasonable price,Pros: 1. Locartion is a plus, not too far from airport, and is located at the heart of the ciy. 2. Parking available 3. Food is good (I did not try the buffet) Cons: 1. Rooms can be cleaner 2. Price high for the standard of the place 3. Receptionist declined to provide additional/spare room access card...WTF?The hotel rooms are neat & clean! The daily housekeeping needs improvement! Room service is good! The restaurant is very good. They offer tiffin (snacks) items as well as a-la-carte menu in veg & non veg.section. Complimentary breakfast menu offered was good!The rooms were smelling like crap. Just not worth the money. Old bed Lenin, literally crappy pillows that were used for atleast a decade with no firmness. Overall crappy experience. Booked 2 rooms. After arriving there the hotel staff offers us one suite room and asks if we can adjust. The rooms were bad and they expect 4 adults and 2 kids to adjust with one bed. That tells you what you can expect from this hotel. Will never recommend this hotel to anyone.The Kay hotel at Vijayawada is well located.The rooms are spacious and well furnished. Amenities like electric kettle, mini fridge, hair dryer,LCD TV etc are provided. WiFi is available.Hotel has in house laundry.Airconditioning is good.There is a fitness center in the hotel.The staff can speak only local Andhra language and the language problem does exist.food is too spicy and oily. Better stick to basic dishes like dal and vegetables.Traffic in Vijayawada is maddening.I have stayed here a couple of times on trips to India. The hotel is very pleasant, well serviced and the food is great. It is of a high standard in every way. It is equipped with conference and gym facilities.I stayed just for less than 12 hours in this hotel, as a transit stay. We wanted to stay at a decent hotel which is safe and accessable. Kay hotel fits well on this count but is quite expensive. They charged 4500 for the room which they claim as superior room. It's a very basic room and the charge is quite high viz a viz the value that it offers. We wanted to leave at 7AM but the breakfast was not ready till 7.20. so we had to leave without breakfast. Somehow I felt the charge is quite high than value that it offers.The hotel is a mid range business hotel with not so great view from the room windows. However the rooms are spacious and cosy. the best part about the hotel is its restaurant. the spread in breakfast, lunch and dinner is phenomenal. the food is very good and the service is excellent. the staff is very cordial and friendly. all in all a very very good experience which I would like to repeat.Stayed for a couple of days at the Kay Hotel early this month. The hotel is located in a prime location, quite a close to the airport. Check in was easy. The room was spacious enough, and clean with fresh linens. Bathroom was a tad small, but well maintained. Adequate toiletries were provided. Rooms also have a locker to store valuables. The complimentary breakfast at the Orange restaurant near the lobby serves a decent spread. Food is mostly good. Room service was also prompt. However, the room service staff could do with more training. Overall, it's a great place to stay. It could do better with an improvement in food quality.",0.4,1
34,Treebo Tryst Park N,402.5,16.50227366,80.64746318,Hotel,Vijayawada,2545,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjI5ZDz2vP8AhVsVmwGHQrvAXsQFnoECAsQAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d8770634-Reviews-Treebo_Tryst_Park_N-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw18Icl9Wxh6JQvObqLqVDRL,"The stay was really excellent all the services were so good with the best food and staff. Thank you so much for the stay. Its really wonderful place for a business stay. wish to revisit again soon thank youVery good Hospitality, Service maintaitance very good , very kindely persons good service in rooms and excellent in rooms And excellent food Also very good Well maintenance by hotel maintenance thank you kalyaniNice hotel to stay, location very near to Durga Temple, Airport ,Bus stand and Railway, service is good , Rooms are very Clean and Hygiene, Value for Money worth it Thank you kalyani ..................All very good and good climate for stay friendly staff good communication all are very good for long stay nice club room facilities and recommend a little more maintenance of facilities , nut maintenance of floors are good , and experienced an overall satisfied stayEasy to reach the hotel, Friendly and supportive staff, nice club room facilities and recommend a little more maintenance of facilities , nut maintenance of floors are good , and experienced an overall satisfied stay .Not satisfactory. Does not deserve the cost it charged. A very ordinary room should cost 1/3 of the price charged. Would never recommend this hotel to anyone. Could not sleep whole night due to mosquitos.My experience in the executive room was disappointing. I had to request for every thing, from soap and shampoo to towels even for door mats. The TV is not working. After multiple calls, I did get soap, shampoo and 2 towels. 1 of the towels is torn and having some brown coloured marks. Even after 2 hours and multiple requests TV is still not working.I have stayed around 1 week , key card of room not worked, TV not working, no laundry facility, breakfast not tasty and we have to beg for towel, soap etc. 2. Customer trust is zero -whenever you order something you have to pay upfront even ordering water. - Complex technology you have to ask wifi password everytime, as it changes frequently and password they provide support only one device at a time, you can't login phone and laptop at once. 3.Wifi is very weak not able to send mails. 4. Mobile network is weak inside room. 5.Price of food is very high.Summarising review as - 1.Furniture is good.. Room service good and staff are polite. 2. Customer trust is zero -whenever you order something you have to pay upfront even ordering water. - Complex technology you have to ask wifi password everytime, as it changes frequently and password they provide support only one device at a time, you can't login phone and laptop at once. 3.Wifi is very weak not able to send mails. 4. Mobile network is weak inside room 5. You go to restaurant if you order through Hotel app it is very complex and you have to pay before itself there also they do not have faith on customer.Best place for quality food...if u prefer quality..others pls stay away... My fav dish is in the title...if u wanna try more..Only place in Vij where u get Peanut Butter Chicken & Peanut Butter Fried Veg...Panner Bhutani...Teriyaki Fish...needless to mention Shahi gosh Biryani & Murgh Khandani Biryani..and the list goes onnn.. If I need to say what's missing..it's Signature Desert which they need to work on.. Bon Appetite ....A place only for food lovers... Big 👍👍👍👍👍 with 5⭐⭐⭐⭐⭐",0.42,0
35,Hotel Kosala,344.0,16.51731056,80.67140019,Hotel,Vijayawada,2322,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwin_qT52vP8AhUyUGwGHXjnApkQFnoECBQQAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d3317233-Reviews-Hotel_Kosala-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw00tcar5JlSGQyMqY_gs3sn,"I have been to this Hotel and stayed for 3D/2N between November 1st and 3rd, 2022 along with my wife. I made an advance reservation for the room and in fact arrived quite earlier than i informed on 1st Nov (around 3 PM), but still the check-in was very smooth and the room was ready within no time. Same day we had a very blissful Darshan of Amma Varu at Kanaka Durgamma Temple atop the hill. I asked front desk people for a taxi car for my next day's visit to Mopidevi Subramanya Temple and i was instantly provided with contact details of their trusted travel and tour operator M/s MK Tours and Travels owned by one Mr Murali, who is very polite and gentle to talk to. I had a good and memorable experience on that front too. The staff at Hotel Kosala were all young and receptive and…This hotel is located in the heart of Vijayawada commercial zone/district. However, it lacks the basic needs of a family traveler. Poorly maintained property, no parking, poor food, zero ventilation bring down the overall experience of a traveler. Could be ideal if the visit is to freshen-up and checkout without overnight stay.First of all I would rate the hotel and experience minus zero 4th we did check in hopes of staying at 3star hotel in vijayawada but the experience was cut off as there was no room available Do not have habit of pre registration of arrival and checking of arrivals for the day Mr.Sandeep gave us a room which was terrible termite infestation no dressing mirror no bathroom lock Worst and worst linen on the bed was stained we kept ourselves quiet as kid was tired with journey we just tried to get through the night but terrible was yet to be heard some one shouting at corridoor drunk our sleep was lost at 2am. The next day we were prepared ourselves to visit vijayawada temple before leaving hotel informed reception to have room shifted as we were unhappy with the room given and they…Thank you kosala for delivering us good food in train. We all are happy with the Jain thali delivered by you, one suggestion please provide customised thali so we can select required items. Will definitely order next time when we travel and suggest to our family n friends circle.Been here from 2 weeks on office work, staying with family have home like feeling staying here. My spl thanks to the staff for their care and arrange local transfer. Liked the breakfast served every morning and North Indian food served in the Dinner. Thanks a lot 👍Good location near by shopping area. Enjoyed stay for 3 days. Room service is good and food is well prepared. Staff are supportive, I had been not well hotel called doctor and provided treatment. Thank you for the service.Very bad experience, Bad smell in rooms Very small rooms. No complimentary breakfast . No for family. Its not looking star hotel it's only lodge type single star hotel. Not recommended for families.stay away don't believe in 4 star rating.Happy with service and hospitality, enjoyed stay here. Close to the Kanaka Durga temple and railway station. Thanks for providing tasty north Indian food . Morning complimentary breakfast is good. Will definitely come back next year for dussera.The Overall Stay Was Good and It has Been Good Atmosphere the rooms were Awesome and Food Was Scrumptious Value for money And Hygiene condition Staff were Good and Ambiance was Good Overall the stay was happy with familyFunction hall is quite beautiful and comfortable, staff were very accommodating and supportive. Our guests have enjoyed the food, ambiance is good and i surely will recommend to my family and friends. Thanks to the team :)",0.48,2
36,Manorama Hotel,330.0,16.5027233,80.65924532,Hotel,Vijayawada,2611,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj63ceN2_P8AhULU2wGHRCLAlwQFnoECBIQAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d547189-Reviews-Manorama_Hotel-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw2znP92drG0Hfofbz6xOOz5,"Very gd rooms n v good service n food.i am really greatful to mr Sameer ex house keeper was of great support n knowledgeable as I am heading as president institute of hotel management alumini association ahemdabad.even food n service was goodThe hotel is classy and is great for food. Situated in mg road is nearest to many tourist attractions. it is famous and many of the localites suggest this place. The food is extremely great and need not have to search other places.Hotel manorama is being heart of the city in Vijayawada makes things easier and comfortble. Thank you very much for providing such kind of stuff to make my travel very happy. I will definitely try visit this place again.This is more like a restaurant than a hotel. Has nice interiors. Food quality was good. Lots of lodges near this hotel too. Cost is like a regular restaurant. Ideal place for good food. The area is very calm with less traffic. Parking is available nearbyWe had stayed in their deluxe rooms for 2 nights. Positives: Hotel in the city center. Their Veg restaurant has good food . Not very spicy. Breakfast had some good spread and they are flexible in timing. Though they open the buffet breakfast at 7.30 am, we were there at 6.45 am and almost all items were ready by then except for a few. Negatives: When we staying there, there is a work going on to build additional lift. Absolutely no safety concerns for the customers around and the drilling has been going on with stone pieces falling around and about to hit my friend. Maintenance of the rooms is not upto the mark. Washbasins had cracks allover.the hotel centrally located 10 years ago we stayed on the same hotel with blissful facilities and cleanliness ... now interiors are old and no proper cleanliness .. food is good as always...service need to improve ..They call themselves 3star. But not worth for rating. Though front office staff is courteous, general manager is too busy with personals, to listen to customer woes. Room condition pathetic and don't be surprised that room service staff will knock at mid night for food bill😃 settlement. Not recommended for family stayStayed for night in connection with business trip. Location is central and cellar bar/restaurant is fine. Rooms and rest of facilities though show lack of care and maintenance (malfunctioning shower, broken tiles etc) and overall the place looks filthy. Affordable, if you're prepared to deal with the shortcomings.It is located within 2 KM's from railway station. In a strategic place near the market. Convenient to travel from here to any place near Vijayawada. Stayed for a day . Did not have food. But there is a separate vegetarian restaurant. Value for money but needs lot of improvement in maintenance. !. Overall rating is good . Just made it to that scale.Stayed here for 2 nights with family. Room is extremely crammed for space. Maintenance is non-existent. The doors do not close. Washroom is so horrible. Looks like it has been ages since they have cleaned these rooms properly. I did not get booking in Minerva Grand and hence had to go with this one. The beds are too high for my elderly parents to get onto. Room service takes such a long time. You do get complimentary breakfast for online bookings. They do a good job when it comes to valet parking.",0.32,0
37,Hotel M5,288.0,16.50946702,80.62807291,Hotel,Vijayawada,2693,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiG5uWT2_P8AhXjS2wGHRhSD7sQFnoECA8QAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d4994828-Reviews-Hotel_M5-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw2tR2Qmfu5ynESuyXiPmF7B,"Every thing is good.except staff they wouldn't respond immediately when you call on the telephone nobody pick up the calls specifically in the morning times so it would be a five star rating it the staff is bit more quick in picking up the calls very good staffStayed a day-8/11/21 to 9/1121. Booked online. A comfortable room facing the highway. 309. Front office staff very cooperative and helpful. Creature comforts are available. Good that 24 hours Hot water is really available. Restaurant closed. Hotel staff provide/fetch food from another sister establishment. Hotel permits online food service as well. A decent accommodation for a couple of days bang on NH16.Hotel is good in budget range. front office people is good talking with us very politely I am very much satisfied with the hotel and service provide by the management.I am very comfortable with the all facilities.I recommended my friends and family members.Very comfortable hotel food was really good Room are excellent guest received superd but wifi not working and no parking place to hotel. No laundry service.and no complimentary breakfast. good staying.I'm very much satisfied with the hotel and the service provided by the management. They were very polite and very helpful and the room provided for us was very comfortable with all the facilities. I'm very much happy with this experience.Hotel is good in budget range.staff was helpful and courteous.and room service is currently from their other property no restaurant in the hotel at present.overall hotel is best hotel but no parking front office staff is good .These people are cheating guests..While booking they are showing option for breakfast ,but they are not providing breakfast to online bookings and cheating guests...They must mention that no breakfast is provided to online booking guests....stayed for for five days cleaning was good food was tasty location was accessible to all areas like shopping business and entertainment.Staff were polite and helpful.Good budgeted hotel and had a comfortable stay.This hotel we stayed at MM legacy is situated on Bangalore Chennai highway. Opp Meenaxi college. The service and the staff at the hotel are very pleasing they went out of the way to accommodate our change of date bookings. Only thing was the restaurant they where serving Buffets all the time. But when we requested them the chef Mr Shetty went all out to make a Italian dish for us he prepared special lasagna and garlic bread for us . And that was the amazing part. I flipped for it and it turned out to be 8/10. Wow the service and cleanliness was really nice. Yes will surely come again.Rooms are comfortable for stay,Hotel is located in nice location and easy acesiable to all location.located in center of city. Good hospitality and staff are polite and helpful.Rooms were clean and maintained good. Restaurant was nice",0.56,1
38,Treebo Trend C Plaza,256.5,16.525361,80.67891649,Hotel,Vijayawada,1960,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwio59iZ2_P8AhV7ZWwGHeyUDK4QFnoECBUQAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d13010611-Reviews-Treebo_Trend_C_Plaza-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw171rQsQTV1T5GefdQEwXoB,"Location is great, 3 minutes Malls and all shopping facilities right on the MG road, The restaurant was great and room well equipped and clean. Mr. Senapati who is looking after the property operations is an excellent person and very helpful and kind I would strongly recommend this property for your stay, the rooms are clean with all standard attributes, we have enjoyed our stay and will definitely stay again whenever we come back to VijayawadaThis hotel at Labbipet Vijayawada is exceptional, its like a budget stay with a 5 star service! Super clean rooms and bathrooms and linens changed everytime, even the janitors cleaning the rooms are so professional and speak english as well. They do housekeeping with so much ethics and integrity that I have never seen in this kind of accomodations! Amenities are very good, quite reasonable for the price and budget stay in the rooms, anything extra can also be requested and it will be provided to you in no time! The hotel doesnt have an in-house restaurant, but breakfast buffet is available and is quite good, if you order food from outside they will serve u in your room like room service with plates and even extra water bottles at no extra cost!! This is also something I really…Stay here at Treebo C plaza is always great, this is the 3rd time stay here. Excellent maintenance and staff behaviour. I would surely stay here at C Plaza, whenever I come again to Vijayawada. Thank youGood hotel. Neat and good staff. Near to MG road. Senapathy a staff of this Treebo hotel was so kind and helpful. Food given for breakfast was good. Hopefully i may stay in this hotel when ever i go to vijayawada.Treebo Trend C is like my second home in Vijayawada. Room cleanliness, comfortable beds, nice staff and room cleaning, and delicious basic breakfast. All I can get with affordable rate. Location behind D Address near Benz Circle.Overall it's good . The bed size is fit for two persons but if u want to go with kids we have to ask for one more bed. I am not sure whether that fit in same room or not. Otherwise overall it's good.kPros: Rate, location, service, staff, breakfast, cleanliness, no hassle check in check out process Cons: nope After 4 years travelling throughout TN and AP region this hotel is the best option for my long stay business travel so far. Hopefully they could maintain this service.I stayed in TrendC yesterday with my family and it’s really a great and best comfortable stay. Mr Senapathy (receptionist) had really very professional and very helpful in providing the required. This is best place to stay for a family, leisure and business travel and I really recommend this with 100%This Hotel is very clean and safe to stay although room sizes are smaller compared to Treebo's other Hotels in Vijayawada. But the service of the staff is of top class and response is excellent. The staff of this Hotel are an added asset to Treebo's brand name. The premises and rooms are very clean and Tidy and taxis and other forms of transport are easily available MG Road is closeby. I would prefer to stay at this Hotel again whenever I visit Vijayawada again.Mr. Senapati ji was an amazing host, we came in late in night and needed a Xerox copy of some papers, he volunteered and helped us out. Senapati ji made our stay extremely comfortable. The hotel room was extremely clean and it's safe to say it's a safe place for solo travelers as well.",0.56,2
39,Innotel Hotel,252.0,16.51815695,80.6301682,Hotel,Vijayawada,3879,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjTmvOh2_P8AhVfUWwGHS0XDYcQFnoECA4QAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d7321621-Reviews-Innotel_Hotel-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw1ARYL-cQDUWpuprgZznfOB,"2019 Dec was my second stay. First i put up there in 2015 Dec when was returning on my bike,solo, from Puri to Pune. Vijaywada was recently declared as Capital of AP. Enjoyed my stay in the Hotel. Loved the best is location. Is just right on the junction of NH5 & NH8. Value for money. Both the times rooms i got were spacious and comfortable. Food is also good with complimentary breakfast. This time , Dec 2019 i was travelling with Family Bhubaneswar to Bengaluru. Even my wife & Son loved the place. Somehow i could not make till Vijaywada in Nov2017, else this would have been my 3rd stay, that time i was on my car with Mom, Dad and Granny.During Road trip from Vizag to Hyderabad found on the net and enjoyed the stay for break at this property well maintained and food is awesome. Parking is little cumbersome because of highway rush but quite easy to reach without wasting time during Journey. Loved their hospitality. ThanksWhile the hotel has good infrastructure, but lot is desired in terms of house keeping. The rooms are spacious, well laid out. Staff is helpful, but a lot is required on the grooming and professional outlook front. The restaurant served good delicious food, here the staff is really good. They make right recommendations are always there to serve.The room is good.. staff is good The minor flaws include 1.unusually placed tap in the wash basin... very difficult to use 2. Absence of coffee maker and hair dryer 3. Old mirror in the bath room But the hotel is clean and well msintainedWell connected and right on the main road. Taxi and rickshaw would be available right outside the hotel. Opted for the executive room.decent bed with TV in the room and adequately lit. The bathroom is huge and clean. Facilities like soap, shampoo, towel are provided by the hotel. Shower and hot water facility is available. The hotel also provides faculty like tea and coffee sachets and you could prepare your own whenever need be. Newspaper is provided in the morning. WiFi is free of cost although I did not make use of it. The complementary breakfast could have been better with very limited options. All in all a good stayFamily of four booked two rooms. Allotted #316 and 317 while checking in at around 9pm. The rooms are decent in all aspects. But the big problem is sound. You feel traffic noise in the room as though you are Standing on side of a busy road. On the top of it, when we were trying to get sleep, at 10:30pm, front office rang the Phone and told us to move to rooms in 4th floor. How lame and arrogant that was to call at 10:30pm!! One can stay here if the purpose is not a might’ve sleep.We stayed there for 3 nights as a wedding party. A decent hotel to stay with family and friend with nice location. The staff and specially the Manager Srinivas is very very helpful and supportive. However we lost few things and on our repeated request they could not show us the recording of CCTVs until we left. There were enough numbers of CCTV Cameras and we could have easily established if the item lost was from room or elsewhere but they could not show the recording. This caused the doubt in our mind and also they loose the credibility. Food And service is good. Second problem is too much noise from the main roads on both sides of hotel.A nice place to stay and easily accessible from anywhere. Close to airport. Supportive and helpful staff. Rooms and bathrooms are clean and well maintained. Lighting a bit low in the rooms. Food is good.Hotel Innotel is located at a convenient location beside the highway at a distance of 20 minutes from the airport. It's situated at a 3way junction on the front and a highway at the back. But the location is also a disadvantage which you realize while you try to sleep. There is continuous movement of traffic and along with the traffic comes the honking. There was practically no sleep through the night. Stayed at the suite room (205).The room was big but lacked maintenance. But the morning breakfast was great. Though the menu was limited, the quality of food was very good. All in all an average hotel and should be considered if no other decent midrange hotels are available. Finding decent midrange hotels in Vijaywada can be challenging at times.Very good place. Good staff clean rooms convenient good house keeping. Good front office staff Restaurant is good. Near to airport 20 minutes. Check in and check out fast. Car parking available Clean and neat",0.4,1
40,Treebo Trend N Square,224.0,16.51531914,80.62889175,Hotel,Vijayawada,1769,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwj2j-Gp2_P8AhUFTGwGHdSMAgoQFnoECBMQAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d13810964-Reviews-Treebo_Trend_N_Square-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw1BsZWOcDaITPoyPevMx5Vx,"Staff Kranthi is excellent. His quick service is impressive. We Check in late in the night. bathroom is neat. But Bed and linen are used with scars, patches, unwashed. Ceiling fan is very low. Good parking but area is quite busy to bring the car out. Overall I cannot recommend to families stay but okay for travellers like me for a quick stay.Located in a busy street but not difficult to locate. Basement parking is available and 4-5 cars can be parked easily. The entry gate to the basement is locked at 11pm for security reasons. Very polite receptionist who guided with everything required. Room was upgraded from Oak to Maple due to unavailability. Room was pretty clean and so were the linens. Central AC did the job of cooling the room quite well and we barely had to turn it on. No in house restaurant but food can be ordered online. Complimentary breakfast was provided as mentioned in the plan. However, tea/coffee was missing and had to be ordered separately and was provided in 2 small paper cups costing Rs.15 each. Although there was provision in the room to prepare tea/coffee but the mornings seem too lazy to…Allotted a room with full of smoke smell, asked the staff for change of room or even a air freshener, but not responded, instead was in deep sleep. not a good experience with hotel. I will not recommend any further.I stayed here for 2 days and har an awesome experience. The rooms were quite clean and beautiful. We got complimentary breakfast on time. The reception was very helpful and used to solve our problems quickly. Overall it was an great experience and i would love to stay here againThe experience was good. Rooms were clean although the need maintenance, cause the paint on the walls was coming off. The food was served to our room and it was fairly good. So all in all it was a good experience.Good one , staff cooperation good , one star less as I changed my room as AC was not working .. Rest all ok New revised room was ok Location ok In city , restaurants were nearby Near to city Near to all conveyances..It's a very good hotel friendly staff it's heart of the city very near to railway station and bus stand and also local market like decent road etc. It's couple friendly and services good most recommended.I was on roadtrip and the stay with this hotel was great. They waited till I checked in, assisted with parking, all required things for check-in. They assisted with queries regarding local places to visit. Breakfast fast was good. All staff were vaccinated and maintaining COVID protocol. Room was hygenic and well maintained.The staff here was excellent and the place right in the middle of a market. The hotel rooms were well maintained and the staff was extremely polite. Hurdleless stay I would say. Thanks Trrebo for your hotels.Awesome stay at Treebo Trend N Square at Vijaywada. Prime location with varieties of food ,South Indian,North Indian,biriyanis.Wine and dine is walkable. Market of all varieties of clothing in all range.Reception,rooms,decor,food all excellent.",0.42,1
41,Hotel Aira,202.5,16.5079103,80.63192734,Hotel,Vijayawada,3363,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiA8uav2_P8AhUmSGwGHWThBLIQFnoECA0QAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d10897776-Reviews-Hotel_Aira-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw16ut9USZ50EH_TwLgqDFlf,"All essentials present very clean good price friendly staff Will stay again and recomend to others If we really understand the problem the answer will come out of it because the answer is not separate from the problem A wise man may act like a fool but a fool can never act like a wise manWe are happy with your service and front office madam also very helpfull in all aspects.Next time also we are visiting this hotel.we reffered to all my friends and family also.Food also very good.thank youVery good stay and very good service. Rooms and very clean and comfortable stay. Also property is in prime location. Easy accessible to banks and shopping. Good place for business trip. Rooms are spacious.Taps and bathroom fittings need to be maintained. Mosquito menace Is to be controlled. Vegetarian food Is very good. Good Hospitable staff The aroma of Sambrani powder is to be felt. Very much exotic.Nice and comfortable place to stay at Vijayawada, very close to important landmarks and close to MG road, shopping centre. Great food. Really enjoyed it. Ambience can be upgraded. Rooms were neatly maintained. Good generator backup. Would have preferred satellite tv with more choice of channels. Room service was good. Response was quick. Very close to PVP mall. Extra bed quality has to be improved.Rooms are clean. Service is good. Had a comfortable stay. Had room service for food. Bed lenin and towels are clean. You can make your own bed coffee/ tea as kettle and tea / coffee and sugar are provided.Excellent ambiance and reception staff are very cool and nice. Totally wonderful experience. Thank you for the joyful experience. We want to visit again and again. Food is very delicious in Kohinur Restaurant. Once again thank you for delighted experience 😊😊😊😊.It's a very good hotel to stay very decent and clean room, big size, Road side view window, nice bed, toilet is clean, and hotel is situated in a prominent location. I used to stay here monthly 2 days or 1 day during my business visit. Areas of improvement...Restaurant, Limited break fast, and room tariff is high compared to competitors.Good service and good food if you dine in the restaurant Could not spend much time at the hotel hence views are restricted Located close to shopping malls business district Access and parking restrictedVery much disappointed with the kind of service and quality they provide for the amount they charge. There is no hot water and maintenence in the wash rooms is very poor. Not worth your money. You can get a 4 star hotel for this price with much better quality maintenance.",0.6,1
42,The Metropolitan,202.5,16.51816322,80.63007864,Hotel,Vijayawada,3883,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjJzpe32_P8AhUlSmwGHY1YBx4QFnoECA0QAQ&url=https%3A%2F%2Fwww.tripadvisor.in%2FHotel_Review-g303876-d11744001-Reviews-The_Metropolitan-Vijayawada_Krishna_District_Andhra_Pradesh.html&usg=AOvVaw0iSHgjzyB_iCRNcqdNBu9r,"For the price of this hotel, I was a little disappointed. This is a decent place to stay, but compared to other places we stayed in more touristy areas I expected more for my money. The AC came and went. The toilet took many flushes to get paper to go down. And there was often a smell of sewage in the hallwayNice hotel good servicing and nice rooms and break fast complimentary, wifi complimentary and testy food good working of staff and good receiving good servicing of bell boy good working of front office nice hotelThe room was clean. The surroundings and the hygiene was also good at the hotel. Staff was courteous and was quick to resolve any query. Location is perfect if anyone wants to visit Vijayawada in its full pride. Perfect location, where everything is less than 10KM's awayThe restaurant food is good and the ambience of red onion restaurant is awesome, the service staff were nice and we had a good experience with the Metro politan hotel, it is situated near to Benz circle, very easy to recogniseMetropolitan hotel is located at centre of city and very nice view good environment I came to visit temple I enjoyed a lot with my friends. the hotel people guided me to see surrounding places in all departments they maintaining well. If I come to visit this place again I will stay in same hotel.Nice hotel good service good response of front office good service of bell boy and nice rooms and nice restarent and testy food room service also good and good environment good cleaningvof rooms and transporting easy to hotel it's center of Vijayawada near by stearla college 200First time I visited this place exact opposite to my office nice place for everything the hotel round the clock providing tasty food well maintenance in all places I stayed almost a week they are greater me every day 🙏 culture good to all kind of visitesThis is my first time visit in this hotel very good environment we came to visit my friends together with friends we had nice food hear and good room such a polite staff every one wishing good smile very friendly hotel we enjoyedVery pleasant environment & I stayed with my family the hotel located in heart'of city very easy to reach tasty food & room also good staff very polite we enjoyed a lot with our family we attended a party finally we suggested to family can stay thank you.So nice trip we enjoyed with family first time we visited nice rooms with good service center of the city hotel located near to temple and airport also Mr kranthi guided to see near locations and we had nice food staf in good manar totly we enjoyed trip we hope we will vist again thanking",0.76,1
